Ref,Val,Package,PosX,PosY,Rot,Side
"C37","33pF","GSG-0402",93.738000,-149.915000,180.000000,top
"C38","33pF","GSG-0402",72.445600,-142.827200,0.000000,top
"C39","33pF","GSG-0402",81.305400,-147.345400,90.000000,top
"C40","33pF","GSG-0402",72.445600,-144.071800,0.000000,top
"C41","100pF","GSG-0402",99.326000,-161.827600,0.000000,top
"C42","100pF","GSG-0402",98.056000,-154.715600,180.000000,top
"C43","22pF","GSG-0402",72.009000,-145.415000,180.000000,top
"C44","100nF","GSG-0402",78.640800,-149.428200,90.000000,top
"C45","33pF","GSG-0402",103.228000,-156.718400,0.000000,top
"C46","100nF","GSG-0402",103.126400,-158.166200,180.000000,top
"C47","33pF","GSG-0402",112.166400,-156.565600,90.000000,top
"C48","22pF","GSG-0402",109.679600,-154.000200,90.000000,top
"C49","100nF","GSG-0402",100.850000,-156.239600,270.000000,top
"C50","100nF","GSG-0402",75.973800,-153.416400,90.000000,top
"C51","22pF","GSG-0402",107.774600,-159.461600,180.000000,top
"C52","100pF","GSG-0402",70.817600,-152.527400,180.000000,top
"C53","1uF","GSG-0402",70.817600,-151.460600,180.000000,top
"C54","33pF","GSG-0402",104.396400,-160.401400,270.000000,top
"C55","33pF","GSG-0402",80.732600,-150.938800,0.000000,top
"C56","33pF","GSG-0402",107.391200,-154.863800,90.000000,top
"C57","33pF","GSG-0402",77.396200,-149.327000,90.000000,top
"C58","100nF","GSG-0402",69.242800,-154.762600,90.000000,top
"C59","100nF","GSG-0402",79.885400,-154.483200,0.000000,top
"C60","33pF","GSG-0402",76.151600,-151.105000,270.000000,top
"C61","100nF","GSG-0402",76.507200,-156.439000,90.000000,top
"C62","100nF","GSG-0402",77.574000,-159.817200,180.000000,top
"C63","33pF","GSG-0402",78.640800,-163.373200,270.000000,top
"C64","100nF","GSG-0402",75.110200,-162.052400,270.000000,top
"C65","33pF","GSG-0402",77.574000,-163.373200,90.000000,top
"C66","33pF","GSG-0402",76.507200,-163.373200,90.000000,top
"C67","33pF","GSG-0402",121.080200,-164.296400,270.000000,top
"C68","100pF","GSG-0402",127.462400,-155.721400,90.000000,top
"C69","100pF","GSG-0402",129.088000,-154.273600,0.000000,top
"C70","100pF","GSG-0402",121.080200,-166.328400,270.000000,top
"C71","100nF","GSG-0402",100.482400,-118.557800,270.000000,top
"C72","2.2uF","GSG-0402",99.466400,-118.557800,270.000000,top
"C73","100nF","GSG-0402",103.403400,-118.557800,270.000000,top
"C74","2.2uF","GSG-0402",102.387400,-118.557800,270.000000,top
"C75","100nF","GSG-0402",105.435400,-118.557800,270.000000,top
"C76","2.2uF","GSG-0402",106.451400,-118.557800,270.000000,top
"C77","100nF","GSG-0402",101.625400,-106.365800,90.000000,top
"C78","2.2uF","GSG-0402",100.609400,-106.365800,90.000000,top
"C79","100nF","GSG-0402",96.735900,-110.493300,180.000000,top
"C80","2.2uF","GSG-0402",97.243900,-108.842300,90.000000,top
"C81","100nF","GSG-0402",96.100900,-113.160300,180.000000,top
"C82","2.2uF","GSG-0402",96.100900,-112.144300,180.000000,top
"C83","100nF","GSG-0402",96.354900,-115.319300,180.000000,top
"C84","22pF","GSG-0402",105.981500,-147.485100,270.000000,top
"C85","22pF","GSG-0402",109.029500,-147.485100,270.000000,top
"C86","22pF","GSG-0402",113.728500,-145.199100,270.000000,top
"C87","10nF","GSG-0402",114.236500,-141.897100,0.000000,top
"C88","10nF","GSG-0402",114.998500,-140.881100,0.000000,top
"C89","10nF","GSG-0402",114.236500,-139.865100,0.000000,top
"C90","100pF","GSG-0402",109.918500,-136.309100,90.000000,top
"C91","100nF","GSG-0402",110.934500,-136.309100,90.000000,top
"C92","10nF","GSG-0402",103.060500,-140.119100,180.000000,top
"C93","10nF","GSG-0402",103.060500,-141.135100,180.000000,top
"C94","22pF","GSG-0402",103.060500,-143.548100,180.000000,top
"C95","22pF","GSG-0402",92.456000,-123.460000,0.000000,top
"C96","22pF","GSG-0402",95.580200,-123.460000,0.000000,top
"C97","330nF","GSG-0402",96.418400,-118.557800,270.000000,top
"C98","330nF","GSG-0402",97.434400,-118.557800,270.000000,top
"C99","22pF","GSG-0402",106.997500,-148.501100,270.000000,top
"C100","330nF","GSG-0402",98.450400,-118.557800,270.000000,top
"C101","22pF","GSG-0402",100.647500,-123.701300,0.000000,top
"C102","22pF","GSG-0402",108.013500,-148.501100,270.000000,top
"C103","22pF","GSG-0402",103.771700,-123.701300,0.000000,top
"C104","3pF","GSG-0402",110.045500,-148.501100,270.000000,top
"C105","10uF","GSG-0805",87.152600,-124.352400,90.000000,top
"C106","1uF","GSG-0402",111.950500,-136.309100,90.000000,top
"C107","22pF","GSG-0402",104.470200,-122.164600,90.000000,top
"C108","22pF","GSG-0402",103.200200,-122.164600,90.000000,top
"C109","22pF","GSG-0402",101.346000,-122.164600,90.000000,top
"C110","22pF","GSG-0402",100.076000,-122.164600,90.000000,top
"C111","3pF","GSG-0402",111.061500,-148.501100,270.000000,top
"C112","180pF","GSG-0402",113.728500,-138.341100,270.000000,top
