Title,HackRF One
Revision,
Date,2020-09-06
Generated,Monday, 07 September 2020 at 11:33:54 am
Company,Copyright 2012-2018 Michael Ossmann
Comment 1,License: GPL v2
Comment 2,
Comment 3,
Comment 4,
Total Parts,417
Total Unique Parts,167
Generated Monday, 07 September 2020 at 11:33:54 am


Ref,Value,Footprint,Qty,Description,Manufacturer,Note,Note:,Part Number,
P41 ,SSP1_MISO,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P43 ,RX,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P44 ,HP,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P45 ,LP,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P46 ,TX_MIX_BP,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P47 ,RX_MIX_BP,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P48 ,TX_AMP,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P49 ,RX_AMP,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P50 ,AMP_BYPASS,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P51 ,!TX_AMP_PWR,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P52 ,!RX_AMP_PWR,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P53 ,CS_XCVR,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P54 ,CS_AD,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P55 ,TXENABLE,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P56 ,RXENABLE,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P57 ,XTAL2,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P58 ,GCK1,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P59 ,GCK2,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P60 ,SGPIO_CLK,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P61 ,DA0,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P62 ,DA7,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P63 ,DD0,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P64 ,DD9,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P65 ,DA4,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P66 ,DD5,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P67 ,RSSI,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P68 ,SPIFI_CS,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P69 ,VREGMODE,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P70 ,EN_1V8,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P71 ,ID,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P72 P75 P76 P77 P78 P79 ,GP_CLKIN,hackrf:GSG-TESTPOINT-50MIL,6,, , ,DNP, , 
P73 ,P1_2,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P74 ,P1_1,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P80 ,SHIELD,hackrf:GSG-HEADER-NOMARK-1x2,1,, , ,DNP, , 
P81 ,SPIFI_SIO2,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P82 ,SPIFI_SIO3,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P83 P84 P85 P86 P87 P88 P89 P90 P91 P92 ,GND,hackrf:GSG-TESTPOINT-50MIL,10,, , ,DNP, , 
Q3 ,MOSFET_P,gsg-modules:SOT23GDS,1,,MOSFET P-CH 20V 4.2A SOT-23,Diodes Inc., , ,DMP2305U-7
Q4 ,MOSFET_P,gsg-modules:SOT23GDS,1,,MOSFET P-CH 50V 130MA SOT-23,Fairchild, , ,BSS84
Q5 ,MOSFET_P,gsg-modules:SOT23GDS,1,,MOSFET P-CH -30V -4.3A SOT23,Alpha and Omega, , ,AO3407A
R1 R2 ,470,hackrf:GSG-0402,2,,RES TF 1/16W 470 OHM 5% 0402,Stackpole, , ,RMCF0402JT470R
R3 ,22k,hackrf:GSG-0402,1,,RES 22K OHM 1/10W 5% 0402 SMD,Panasonic, , ,ERJ-2GEJ223X
R4 ,51k,hackrf:GSG-0402,1,,RES TF 51K OHM 1% 0.0625W 0402,Stackpole, , ,RMCF0402FT51K0
R5 R6 R36 R39 R40 ,10k,hackrf:GSG-0402,5,,RES 10K OHM 1/16W 5% 0402 SMD,Stackpole, , ,RMCF0402JT10K0
R7 R11 R12 R37 R41 R48 R49 R51 R52 R54 R59 R63 R64 R65 R66 R67 R68 R85 R93 R104 R105 ,10k,hackrf:GSG-0402,21,,RES 10K OHM 1/16W 5% 0402 SMD,Stackpole, , ,RMCF0402JT10K0
R8 R9 R10 R13 R73 R76 ,1k,hackrf:GSG-0402,6,,RES 1K OHM 1/16W 1% 0402,Stackpole, , ,RMCF0402FT1K00
R14 R15 R16 R17 ,4k7,hackrf:GSG-0402,4,,RES 4.7K OHM 1/16W 1% 0402,Stackpole, , ,RMCF0402FT4K70
R18 R27 R28 R74 ,1k8,hackrf:GSG-0402,4,,RES TF 1.8K OHM 5% 1/16W 0402,Stackpole, , ,RMCF0402JT1K80
R19 R30 R31 R32 R33 R34 R77 R78 R79 R80 R81 R86 R87 R88 R89 R90 R91 R94 R96 R98 R99 R100 ,39,hackrf:GSG-0402,22,,RES 39 OHM 1/16W 5% 0402 SMD,Stackpole, , ,RMCF0402JT39R0
R20 R21 R22 R23 R57 R58 R62 ,0,hackrf:GSG-0402,7,,RES 0.0 OHM 1/16W 0402 SMD,Stackpole, , ,RMCF0402ZT0R00
R25 R26 ,475,hackrf:GSG-0402,2,,RES TF 1/16W 470 OHM 5% 0402,Stackpole, , ,RMCF0402JT470R
R38 ,1k,hackrf:GSG-0402,1,,RES 10K OHM 1/16W 5% 0402 SMD,Stackpole, , ,RMCF0402JT10K0
R42 R43 R44 ,1.5k,hackrf:GSG-0402,3,,RES 1.5K OHM 1/10W 5% 0402 SMD,Panasonic, , ,ERJ-2GEJ152X
R46 R55 ,162k,hackrf:GSG-0402,2,,RES TF 1/16W 162K OHM 1% 0402,Stackpole, , ,RMCF0402FT162K
R47 ,330k,hackrf:GSG-0402,1,,RES TF 1/16W 330K OHM 1% 0402,Stackpole, , ,RMCF0402FT330K
R56 ,715k,hackrf:GSG-0402,1,,RES TF 1/16W 715K OHM 1% 0402,Stackpole, , ,RMCF0402FT715K
R69 ,12k,hackrf:GSG-0402,1,,RES 12.0K OHM 1/16W 1% 0402 SMD,Rohm, , ,MCR01MRTF1202
R72 R75 ,470,hackrf:GSG-0402,2,,RES TF 1/16W 470 OHM 5% 0402,Stackpole, , ,RMCF0402JT470R
SW1 ,DFU,hackrf:GSG-SWITCH-FSMRA,1,,SWITCH TACTILE SPST-NO 0.05A 12V,TE Connectivity, , ,FSMRA3JH
SW2 ,RESET,hackrf:GSG-SWITCH-FSMRA,1,,SWITCH TACTILE SPST-NO 0.05A 12V,TE Connectivity, , ,FSMRA3JH
T1 ,MIX_IN_BALUN,hackrf:GSG-B0310J50100AHF,1,,Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced,Anaren, , ,B0310J50100AHF
T2 ,MIX_OUT_BALUN,hackrf:GSG-B0310J50100AHF,1,,Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced,Anaren, , ,B0310J50100AHF
T3 ,RX_BALUN,hackrf:GSG-2500BL14M100,1,,BALUN CERAMIC CHIP WIMAX 2.5GHZ,Johanson Technology, ,Alternative part: Murata LDB182G4510G-120,2500BL14M100T
T4 ,TX_BALUN,hackrf:GSG-2500BL14M100,1,,BALUN CERAMIC CHIP WIMAX 2.5GHZ,Johanson Technology,Alternative part: Murata LDB182G4510G-120, ,2500BL14M100T
U1 U2 U5 U6 U7 U10 U11 ,SKY13453,gsg-modules:SKY13453-385LF,7,, , , , , 
U3 ,RX_LOWPASS_FILTER,hackrf:GSG-LP0603,1,,FILTER LOW PASS 1880MHZ 0603 SMD,AVX, , ,LP0603A1880ANTR
U4 ,RFFC5072,hackrf:GSG-QFN32,1,,WIDEBAND SYNTHESIZER/VCO WITH INTEGRATED 6GHz MIXER,RFMD, , ,RFFC5072TR7
U8 ,RX_HIGHPASS_FILTER,hackrf:GSG-HP-DEA,1,,FILTER HIGHPASS WLAN&BLUETOOTH,TDK, , ,DEA162400HT-8004B1
U9 U12 U14 ,SKY13317,hackrf:GSG-SKY13317-373LF,3,,20 MHz-6.0 GHz pHEMT GaAs SP3T Switch,Skyworks, , ,SKY13317-373LF
U13 U25 ,TRF37B73,Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,2,, , , , , 
U15 ,USB6B1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,, , , , , 
U17 ,MAX2837,hackrf:GSG-QFN48-6,1,,IC TXRX 2.3GHZ-2.7GHZ 48TQFN,Maxim, , ,MAX2837ETM+
U18 ,MAX5864,hackrf:GSG-QFN48-7,1,,IC ANLG FRONT END 22MSPS 48-TQFN,Maxim, , ,MAX5864ETM+
U19 ,SI5351C,hackrf:GSG-QFN20-4,1,,IC CLK GENERATOR 160MHZ 20QFN,Silicon Laboratories Inc, , ,SI5351C-B-GM
U20 ,W25Q80,hackrf:GSG-SOIC8-208,1,,IC FLASH 8MBIT 8SOIC,Winbond, , ,W25Q80DVSSIG
U21 ,TPS62410,hackrf:GSG-S-PVSON-N10,1,,IC BUCK SYNC DUAL ADJ 0.8A 10SON,Texas Instruments, , ,TPS62410DRCR
U23 ,LPC4320FBD144,hackrf:GSG-LQFP144,1,,IC MCU 32BIT 144LQFP,NXP, , ,LPC4320FBD144 551
U24 ,GSG-XC2C64A-7VQG100C,hackrf:GSG-VQ100,1,,IC CR-II CPLD 64MCELL 100-VQFP,Xilinx, , ,XC2C64A-7VQG100C
X1 ,GSG-XTAL4PIN,hackrf:GSG-XTAL3.2x2.5mm,1,,CRYSTAL 25.0000MHZ 10PF SMD,Abracon, , ,ABM8-25.000MHZ-10-D1G-T
X2 ,MCU_XTAL,hackrf:GSG-XTAL3.2x2.5mm,1,,CRYSTAL 12.000 MHZ 12PF SMD,TXC, , ,7V-12.000MAAE-T
X3 ,RTC_XTAL,hackrf:GSG-XTAL-AB26TRQ,1,,CRYSTAL 32.768KHZ 12.5PF SMD,Abracon, , ,AB26TRQ-32.768KHZ-T

